chr2L	0	1000	0	0	58.3	52.6	chr2L:0
chr2L	1000	2000	0	0	60.2	54.5	chr2L:1000
chr2L	2000	3000	0	0	59	57.6	chr2L:2000
chr2L	3000	4000	0	0	60	56.5	chr2L:3000
chr2L	4000	5000	0	0	60	54.4	chr2L:4000
chr2L	5000	6000	76.7	72.8	83.3	76.3	chr2L:5000
chr2L	6000	7000	99.7	99.7	99.7	99.7	chr2L:6000
chr2L	7000	8000	99.3	99.3	99.3	99.3	chr2L:7000
chr2L	8000	9000	94.8	94.8	95.1	95.1	chr2L:8000
chr2L	9000	10000	89.6	90.7	90.1	91.2	chr2L:9000
chr2L	10000	11000	99.8	98.7	99.8	98.7	chr2L:10000
chr2L	11000	12000	99.4	99.5	99.4	99.5	chr2L:11000
chr2L	12000	13000	99.9	99.8	99.9	99.8	chr2L:12000
chr2L	13000	14000	99.2	99.2	99.2	99.2	chr2L:13000
chr2L	14000	15000	100	100	100	100	chr2L:14000
chr2L	15000	16000	99.9	99.9	99.9	99.9	chr2L:15000
chr2L	16000	17000	50.3	51.4	82.7	84.2	chr2L:16000
chr2L	17000	18000	34.6	37.4	81.6	79.9	chr2L:17000
chr2L	18000	19000	23.5	19.7	85.3	85.3	chr2L:18000
chr2L	19000	20000	45.9	45.8	79.4	79.7	chr2L:19000
chr2L	20000	21000	19.4	23.3	84.8	84.2	chr2L:20000
chr2L	21000	22000	42.8	38.9	85.1	85	chr2L:21000
chr2L	22000	23000	99.8	99.8	99.8	99.8	chr2L:22000
chr2L	23000	24000	99.8	99.8	99.8	99.8	chr2L:23000
chr2L	24000	25000	95.5	95.5	95.5	95.5	chr2L:24000
chr2L	25000	26000	99.4	99.4	99.4	99.4	chr2L:25000
chr2L	26000	27000	99.8	99.8	99.8	99.8	chr2L:26000
chr2L	27000	28000	99.3	99.3	99.3	99.3	chr2L:27000
chr2L	28000	29000	99.7	99.7	99.7	99.7	chr2L:28000
chr2L	29000	30000	99.5	99.5	99.5	99.5	chr2L:29000
chr2L	30000	31000	99.9	99.9	99.9	99.9	chr2L:30000
chr2L	31000	32000	99.8	99.8	99.8	99.8	chr2L:31000
chr2L	32000	33000	100	100	100	100	chr2L:32000
chr2L	33000	34000	99.5	99.5	99.5	99.5	chr2L:33000
chr2L	34000	35000	99.9	99.9	99.9	99.9	chr2L:34000
chr2L	35000	36000	99.8	99.8	99.8	99.8	chr2L:35000
chr2L	36000	37000	100	100	100	100	chr2L:36000
chr2L	37000	38000	100	100	100	100	chr2L:37000
chr2L	38000	39000	99.5	99.5	99.5	99.5	chr2L:38000
chr2L	39000	40000	99.5	99.5	99.5	99.5	chr2L:39000
chr2L	40000	41000	99.8	99.8	99.8	99.8	chr2L:40000
chr2L	41000	42000	99.6	99.6	99.6	99.6	chr2L:41000
chr2L	42000	43000	99.9	99.9	99.9	99.9	chr2L:42000
chr2L	43000	44000	100	100	100	100	chr2L:43000
chr2L	44000	45000	97.2	97.2	97.2	97.2	chr2L:44000
chr2L	45000	46000	100	100	100	100	chr2L:45000
chr2L	46000	47000	99.5	99.6	99.5	99.6	chr2L:46000
chr2L	47000	48000	51.7	55.5	87.7	86	chr2L:47000
chr2L	48000	49000	2	2	64.4	65.7	chr2L:48000
chr2L	49000	50000	0	0	58.6	64.1	chr2L:49000
chr2L	50000	51000	0	0	74.4	73.7	chr2L:50000
chr2L	51000	52000	0	0	58.3	50.6	chr2L:51000
chr2L	52000	53000	47.7	43.8	63.3	50.3	chr2L:52000
chr2L	53000	54000	99.6	100	99.6	100	chr2L:53000
chr2L	54000	55000	95.6	95.2	95.6	95.2	chr2L:54000
chr2L	55000	56000	100	100	100	100	chr2L:55000
chr2L	56000	57000	99.8	99.8	99.8	99.8	chr2L:56000
chr2L	57000	58000	97.8	97.8	97.8	97.8	chr2L:57000
chr2L	58000	59000	99.8	99.8	99.8	99.8	chr2L:58000
chr2L	59000	60000	100	100	100	100	chr2L:59000
chr2L	60000	61000	90.3	90.3	90.3	90.3	chr2L:60000
chr2L	61000	62000	99.9	99.9	99.9	99.9	chr2L:61000
chr2L	62000	63000	99.9	99.9	99.9	99.9	chr2L:62000
chr2L	63000	64000	98.9	99.2	98.9	99.2	chr2L:63000
chr2L	64000	65000	49.4	49.1	50.5	49.1	chr2L:64000
chr2L	65000	66000	97.5	97.5	97.5	97.5	chr2L:65000
chr2L	66000	67000	100	100	100	100	chr2L:66000
chr2L	67000	68000	99.7	99.7	99.7	99.7	chr2L:67000
chr2L	68000	69000	100	100	100	100	chr2L:68000
chr2L	69000	70000	99.4	99.4	99.4	99.4	chr2L:69000
chr2L	70000	71000	100	100	100	100	chr2L:70000
chr2L	71000	72000	98.3	98.3	98.3	98.3	chr2L:71000
